Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
b51eb87b4bce896550a647562a9526b34603eab9,"Added possibility to write MOT compliant results to .txt, small fix",718185a74e27c973833e840b636f628153c73ef7,False,track.py
21bc8b50d5727207b0fc2ca44f0cb2c98db9c542,Fixed video save bug,c41c85b514aa6487985e4ac50d2ce706fe564a06,False,track.py
5fe232162fbc7d96b892e594f192c21793183b45,increment ages when no detections fix,ab0be012c7956ef9fbe9d1822463b9cb2cd923bf,False,track.py
3b100c552af371b273b6679a72c63800f3afbf69,"fixed MOT complian result bug, switched bbox_left & bbox_top",6599919ba5723a2a3e5586952fda8612be483ae6,False,track.py
276a9d0d6eb8ab0f1efe18f581f20566cfd41d59,"Class and confidence display (#135)

* classes passed to tracker and class_id for each track returned

* class_id stored in track

* tracks initialized with their respective tracks

* class write to txt

* neater track logic

* var name fix

* thinner bboxes

Co-authored-by: mikel-brostrom <yolov5.deep.sort@gmail.com>",03e00a59fbc965d6c6bc6373d94d54c16da8d91f,False,deep_sort_pytorch/deep_sort/deep_sort.py;deep_sort_pytorch/deep_sort/sort/track.py;deep_sort_pytorch/deep_sort/sort/tracker.py;track.py
9a0851e5acc8ea66896c3175ce042d90028c81de,fix bad initial kf predictions for new objects in the field of view,4af3111ac61f1f8e4698c08b201498060daa48f6,False,deep_sort_pytorch/deep_sort/deep_sort.py;deep_sort_pytorch/deep_sort/sort/kalman_filter.py;track.py
4d338ae4bdd62e5fec0c3479c765a76e385972d8,Fix frame idx MOT txt export bug,1af80aa9ce74904f3f8be264ab97d857d9cd5739,False,track.py
2e68fb2dc702d999a9c936d33a40e5e44ef6237f,fix dt bug,90261559fe2ec399bca17d7747d875294c6811f4,False,track.py
60f856a60097dd65bd50381572077462186800b2,fix https://github.com/mikel-brostrom/Yolov5_DeepSort_Pytorch/issues/224,ece6ced83e0d3402f73bcb99a90e47f220ff549b,False,track.py
0ab9f16b19d3fa1a973fa58298b60f276b650afe,fix logging for no detections,ed130e77474852b01fdaec854eb3f52329d6f8df,False,track.py
d3a3651f7855bb32b4d3520d6bc40b9af03f54aa,fix yolov5 timing,ef4e0ccd0160b337438b51f18b1f6f5a8800e43a,False,track.py
6789e2d65445b3e8f39df05180f5c29917050a96,fix error when specifying yolo model,4fd9a25713b395aa420b80430640a6d1a90c6ea2,False,track.py
d2d5c59c1116b31fcbd907229da1c6c3746b51c6,fix feature map visualizations,e41a18c38d36e2daff5720a1e631d3aea55a5f45,False,track.py
701591a42963f45e42103588a6ecbc17ae684068,fixed multi-video tracking txt saving,c80ffd7db27a38c19cb83eb306cef7cc622c47f6,False,track.py
c865655cfc8b50d3cc97b7b99c233abd264e333b,saving video and txt for multiple streams fixed,c8c393a5bcd25b5f37e5ebe46e9378183ef871c9,False,track.py
